"2016-12-11 20:13:54.654635085 -0500 EST", "18365", "50gr. FUB-AKB", "ALaurizen", "USD 340.00", "Drugs", "China"
"2016-12-11 15:34:46.900547093 -0500 EST", "12228", "Get a FREE iPhone 6s !!!", "smart666tiger", "USD 11.99", "Electronics"
"2016-12-11 18:19:59.667791589 -0500 EST", "37713", "The Basics of Information Security 2nd edition 2014", "pckabml", "USD 2.99", "Guides & Tutorials"
"2016-12-11 19:00:59.930441692 -0500 EST", "9463", "Oxazepam | 50x (30MG) Pills", "Discover", "USD 115.00", "Drugs", "United States"
"2016-12-11 20:06:18.058211968 -0500 EST", "50068", "10g - AH Special Snow White Cocaine - 90% Pure", "Coolblue", "USD 517.56", "Drugs", "Europe (EU)"
"2016-12-11 16:27:33.763230697 -0500 EST", "47286", "Rolex - Day-Date 40 Yellow Gold 228238 Black Diagonal Motif Dial [AAA+]", "RepAAA", "USD 379.00", "Counterfeits", "Hong Kong"
"2016-12-11 17:14:22.315626949 -0500 EST", "19454", "50 Gram Dutch Quality Ketamine || S-Ketamine", "DutchDrugz", "USD 1,320.31", "Drugs", "Worldwide"
"2016-12-11 17:54:36.324916829 -0500 EST", "33031", "10g of High Quality #3 Heroin", "sargon", "USD 628.77", "Drugs", "Worldwide"
"2016-12-11 18:50:58.325840342 -0500 EST", "38234", "Premiumgfs.com - [LIFETIME PORN PREMIUM ACCOUNT]", "VideoK", "USD 4.99", "Digital Goods"
"2016-12-11 18:48:51.425465524 -0500 EST", "55008", "20 gr super heroin from pakistaan AAA+++", "goldendrugs", "USD 792.18", "Drugs", "Netherlands"
"2016-12-11 15:48:02.684193851 -0500 EST", "10677", "Connecticut - CT | SSN + DOB | FULLZ", "Zloy3", "USD 1.25", "Fraud Related"
"2016-12-11 16:11:46.962031811 -0500 EST", "45065", "100x MicroDots - 150ug JOR #4 LSD", "BrainCandy", "USD 289.00", "Drugs", "United States"
"2016-12-11 18:39:45.281296982 -0500 EST", "54392", "60x Bupropion Extended-Release (SR) 150 mg", "ThisIsTheWhy", "USD 10.20", "Drugs", "United States"
"2016-12-11 18:27:26.838048234 -0500 EST", "3880", "Hacking Web Intelligence", "color", "USD 1.00", "Services"
"2016-12-11 19:58:03.807730201 -0500 EST", "55830", "10g Marocco Rifman Hash A+", "Tr4derJo3", "USD 89.78", "Drugs", "Germany"
"2016-12-11 20:07:45.410166115 -0500 EST", "43927", "1kg MD-PHP", "costcowholesale", "USD 4,000.00", "Drugs", "China"
"2016-12-11 15:39:51.260791304 -0500 EST", "19870", "♕♕♕ ★★★ DEEZER Premium Account (LIFETIME) ★★★ ♕♕♕", "TheShop", "USD 1.49", "Digital Goods"
"2016-12-11 18:52:51.168801455 -0500 EST", "55892", "1 g Moonrocks Fresh Batches all the time", "Midas", "USD 45.00", "Drugs", "United States"
"2016-12-11 18:07:13.109517674 -0500 EST", "53285", "25G Northern Lights 95% Indica Free Tracking !", "CannaCrew", "USD 211.25", "Drugs", "Netherlands"
"2016-12-11 15:43:39.874106438 -0500 EST", "7193", "Crime Pack 3.1.3", "shonajaan", "USD 1.10", "Services"
"2016-12-11 15:31:15.568872766 -0500 EST", "41551", "▶THE CARDER&#039;S HOLY GRAIL -Antidetect 6.5 -Fraud Browser -Socks5/Proxy+VPN -List of Bins -Worth $550!", "SoftKingUS", "USD 5.99", "Fraud Related"
"2016-12-11 16:24:37.675591877 -0500 EST", "8093", "Amnesia haze 5gr", "kingofcannabis", "USD 63.37", "Drugs", "Germany"
"2016-12-11 20:19:49.288618954 -0500 EST", "55158", "1G WHITE WIDOW  60% Sativa / 40% Indica.", "CannaCrew", "USD 9.51", "Drugs", "Netherlands"
"2016-12-11 17:30:51.787991261 -0500 EST", "20189", "★25x100ug LSD Anonymouse(Amber)", "Doug-Heffernan", "USD 100.34", "Drugs", "Europe (EU)"
"2016-12-11 20:06:13.416100672 -0500 EST", "49940", "100g - Red Lebanese Hash - Coffeeshop Quality", "Coolblue", "USD 422.50", "Drugs", "Europe (EU)"
"2016-12-11 18:11:49.969657724 -0500 EST", "4834", "Pick-5-Book List: (ISC)2 Cert Guides (CAP CCFP CISSP CSSLP ISSAP ISSEP ISSMP SSCP)", "pckabml", "USD 13.00", "Guides & Tutorials"
"2016-12-11 18:33:38.033468712 -0500 EST", "46791", "HOT *CHASE* BANK USA BANK DROPS *fresh* with &quot;Gift&quot; Balance;) # NOT HACKED", "Humanbros", "USD 170.00", "Fraud Related"
"2016-12-11 19:44:28.596226643 -0500 EST", "13823", "175 Pills Xanax 1 MG", "Meds2Buy", "USD 185.00", "Drugs", "United States"
"2016-12-11 20:12:36.782667709 -0500 EST", "48234", "Any  e-book you want - 2$ per book", "Accountshack", "USD 4.00", "Digital Goods"
"2016-12-11 20:01:37.407168717 -0500 EST", "54432", "8 gram - Cocaine - PURE COCAINE", "DigitalConnect", "USD 441.26", "Drugs", "United States"
